#{"t_start": 1746161698.9439378, "env_id": null}
r,l,t
-1617.075919,1428,17.574426
-1352.431136,1428,35.039572
-1835.958599,1428,51.428342
-1758.024591,1428,68.552855
-982.877187,1428,85.395802
-1504.791234,1428,101.708475
-1664.877869,1428,118.277353
-1883.649264,1428,134.437632
-2240.048498,1428,151.254821
-1211.093615,1428,167.572598
-1805.915923,1428,184.534073
-1035.160796,1428,201.630598
-1236.29204,1428,218.546293
-1119.492823,1428,235.252651
-967.143981,1428,252.379122
-1310.830755,1428,268.937406
-1645.963335,1428,285.859767
-1241.021019,1428,302.945702
-769.67302,1428,319.845071
-1312.570111,1428,336.493357
-895.509313,1428,352.610265
-1078.099451,1428,369.049285
-1793.940552,1428,385.285841
-1676.785232,1428,401.379089
-1382.150837,1428,417.225948
-912.78905,1428,433.669639
-1408.769492,1428,449.60151
-812.004037,1428,466.060042
-1676.228935,1428,481.986411
-1251.741085,1428,498.303798
-803.810169,1428,514.440548
-1820.566576,1428,530.351784
-1596.039993,1428,546.442332
-1586.664196,1428,562.660455
-1708.673868,1428,579.209844
-685.019725,1428,595.604768
-1802.904442,1428,611.465105
-1700.891878,1428,627.928259
-1043.205816,1428,644.143289
-2042.535439,1428,660.734827
-1070.920149,1428,677.49094
-1526.579664,1428,694.121294
-1229.827956,1428,710.356018
-1476.884017,1428,726.394629
-917.973723,1428,742.694858
-1027.668883,1428,759.442549
-2674.652615,1428,775.894571
-1176.528839,1428,791.79769
-780.356423,1428,808.080198
-1148.357303,1428,824.857214
-902.421694,1428,840.904541
-999.945194,1428,856.959287
-916.041786,1428,872.779223
-971.966505,1428,888.786298
-1473.841986,1428,905.197203
-1188.500961,1428,921.50351
-1408.122474,1428,938.286559
-975.441557,1428,954.644907
-1120.467035,1428,970.962087
-1480.431125,1428,987.326123
-1032.315573,1428,1004.05635
-1847.783093,1428,1020.995744
-901.49745,1428,1037.565751
-1191.467382,1428,1054.576524
-1770.754613,1428,1071.40837
-751.853197,1428,1088.276355
-1269.579361,1428,1104.872728
-665.394714,1428,1121.569442
-962.925184,1428,1138.541012
-959.586275,1428,1155.351695
-1240.394226,1428,1171.527745
-988.006592,1428,1188.511161
-879.91552,1428,1204.917125
-1372.075859,1428,1222.129198
-1314.331317,1428,1239.111266
-1211.46925,1428,1251.694379
-954.675972,1428,1263.900601
-866.387151,1428,1275.988174
-1343.440382,1428,1288.587745
-920.985829,1428,1300.675028
-813.253559,1428,1312.565335
-1684.272847,1428,1324.771939
-1234.296025,1428,1336.736743
-1246.520604,1428,1348.816567
-1406.883413,1428,1360.843408
-2438.44883,1428,1372.960137
-1296.66004,1428,1384.924934
-1587.305119,1428,1396.860964
-1432.969116,1428,1408.750896
-780.46975,1428,1420.751082
-687.413929,1428,1432.863811
-1056.067934,1428,1444.838073
-896.611767,1428,1457.2131
-1480.70269,1428,1469.736813
-492.155205,1428,1482.183688
-1153.499958,1428,1494.813716
-1079.145821,1428,1507.376669
-1813.306571,1428,1520.317351
-1243.536418,1428,1532.502738
-1433.17283,1428,1545.078033
-1372.350507,1428,1557.213031
-2092.747981,1428,1569.407914
-963.696848,1428,1581.67327
-1401.333342,1428,1594.232186
-984.947292,1428,1606.503659
-795.399398,1428,1618.652993
-1134.464196,1428,1630.97504
-1073.009657,1428,1643.330003
-1013.522776,1428,1655.274751
-1781.532866,1428,1667.154413
-2080.387542,1428,1679.215664
-1272.054176,1428,1691.745283
-1964.581268,1428,1703.88685
-1602.940123,1428,1716.162215
-1055.707018,1428,1728.218937
-1435.596935,1428,1740.369782
-1513.435546,1428,1752.509945
-2298.015802,1428,1764.716096
-482.788485,1428,1777.11723
-1833.674328,1428,1789.420006
-1179.082471,1428,1801.533918
-1845.141663,1428,1813.776471
-663.559915,1428,1826.060258
-772.56145,1428,1838.399956
-1280.491432,1428,1850.713293
-864.986813,1428,1862.830845
-1067.16916,1428,1875.009197
-1898.031135,1428,1886.994913
-1133.316161,1428,1898.978459
-611.610254,1428,1910.972017
-1804.251168,1428,1922.979211
-1360.368627,1428,1935.037723
-1165.923139,1428,1947.016984
-1262.070352,1428,1959.068923
-1119.465398,1428,1971.121496
-793.296015,1428,1983.32094
-1304.406022,1428,1995.525633
-935.036319,1428,2007.605011
-1497.736264,1428,2019.754118
-957.270752,1428,2031.823987
-947.458587,1428,2043.733442
-1078.341515,1428,2055.646101
-447.700974,1428,2067.787706
-1259.66916,1428,2079.749436
-1364.810783,1428,2091.873317
-1468.844698,1428,2104.185629
-718.757241,1428,2116.409449
-1358.356663,1428,2128.681994
-904.928901,1428,2140.912415
-2020.755896,1428,2153.228874
-469.314818,1428,2165.634505
-1481.157312,1428,2177.882549
-1131.693198,1428,2190.103898
-1059.41896,1428,2202.438287
-1171.726355,1428,2214.661165
-509.845758,1428,2227.097624
-816.178415,1428,2239.414962
-1160.396608,1428,2251.624058
-1147.294571,1428,2263.861154
-1602.170496,1428,2276.133364
-1188.955252,1428,2288.369212
-1064.382501,1428,2300.81145
-622.60776,1428,2312.927842
-1753.208563,1428,2325.313385
-1578.83018,1428,2337.836864
-753.346463,1428,2350.322982
-871.448121,1428,2362.770726
-671.472115,1428,2375.013643
-1129.425728,1428,2387.101682
-656.570669,1428,2399.17365
-1129.198412,1428,2411.660287
-1170.424792,1428,2423.828771
-958.773377,1428,2436.002946
-1044.067836,1428,2448.119914
-1110.105476,1428,2460.781794
-1205.249841,1428,2472.930358
-767.164843,1428,2485.330683
-1592.369031,1428,2497.711029
-938.200941,1428,2510.176081
