#{"t_start": 1746424327.518247, "env_id": null}
r,l,t
-1339.369153,1428,16.531499
-1395.100168,1428,32.020778
-1724.018539,1428,47.658362
-1652.173539,1428,63.831913
-1219.777125,1428,80.720138
-1340.84714,1428,96.506763
-1713.88815,1428,112.157151
-1461.309431,1428,128.51307
-1554.304537,1428,145.351062
-1238.826815,1428,159.24335
-1659.963071,1428,171.031912
-1172.985108,1428,182.758178
-1008.771375,1428,194.444441
-1365.327136,1428,205.98791
-1060.333009,1428,217.594767
-1730.241165,1428,229.100853
-1418.443295,1428,240.01844
-1067.434518,1428,250.91129
-1501.72795,1428,261.770371
-920.496751,1428,273.225442
-887.862113,1428,284.872319
-1779.5828,1428,295.95536
-1600.645582,1428,307.024727
-1566.965406,1428,317.896623
-1938.641667,1428,328.739719
-1436.064267,1428,339.339848
-1687.684678,1428,350.532702
-963.028011,1428,361.638545
-1349.751187,1428,372.906688
-1220.062477,1428,384.055814
-963.845027,1428,395.371281
-1536.182087,1428,406.72638
-1528.738631,1428,418.1011
-1606.409332,1428,429.314259
-1252.232017,1428,440.606093
-1171.546409,1428,452.018625
-1209.135793,1428,463.473702
-1610.108372,1428,474.869223
-1295.342642,1428,485.974741
-1798.346234,1428,498.242275
-861.570293,1428,510.663958
-1578.811545,1428,523.001597
-999.529812,1428,535.430457
-1086.706479,1428,548.199055
-1283.806968,1428,560.957911
-1560.911371,1428,573.280734
-2050.138991,1428,585.700979
-864.976402,1428,598.60991
-923.889046,1428,611.429398
-1432.162907,1428,624.127492
-1355.330735,1428,636.795927
-1122.230255,1428,649.562004
-1147.582354,1428,662.14925
-1347.925563,1428,674.83102
-1388.389496,1428,686.826813
-1239.600619,1428,698.73
-1828.924187,1428,710.806422
-1588.985307,1428,722.639323
-1113.60268,1428,734.51457
-1405.993064,1428,746.267135
-1165.482361,1428,758.121077
-1627.38254,1428,769.773048
-1506.255346,1428,781.52281
-1768.047771,1428,793.170369
-1042.016942,1428,804.705455
-1207.367083,1428,816.410996
-1466.122723,1428,828.433168
-1470.91694,1428,841.09559
-1313.005671,1428,853.648169
-1595.758594,1428,865.957121
-859.656844,1428,878.20118
-766.14743,1428,890.300417
-1151.13143,1428,902.132082
-1860.019071,1428,913.675161
-1334.458154,1428,925.100116
-1380.12252,1428,936.64057
-1302.089352,1428,948.109141
-1190.994226,1428,959.533528
-1073.104088,1428,971.302934
-823.033558,1428,982.708696
-731.430194,1428,994.65682
-1469.994456,1428,1007.000222
-1420.173917,1428,1019.112153
-1490.585921,1428,1031.390291
-946.143458,1428,1043.656109
-1956.09585,1428,1055.776639
-1566.459481,1428,1068.030529
-1455.505122,1428,1080.136206
-1353.825812,1428,1091.875038
-1336.378919,1428,1103.738049
-854.905821,1428,1115.542077
-1011.658989,1428,1127.356622
-1574.359438,1428,1139.260135
-1430.692072,1428,1151.492511
-1025.911973,1428,1163.734592
-1233.907126,1428,1175.984812
-1285.679721,1428,1188.212509
-1662.373688,1428,1200.39098
-906.161216,1428,1212.716977
-1248.480581,1428,1225.157147
-1177.408401,1428,1237.527079
-1678.44248,1428,1249.877835
